Company Name,Ticker,Zacks Industry Rank,Zacks Rank,VGM Score
"Compania Cervecerias Unidas, S.A.","CCU","167","3","F"
"CDK Global, Inc.","CDK","81","3","A"
"Cardlytics, Inc.","CDLX","75","3","F"
"CareDx, Inc.","CDNA","63","3","D"
"Cadence Design Systems, Inc.","CDNS","81","3","C"
"Cedar Realty Trust, Inc.","CDR","80","3","A"
"CDW Corporation","CDW","81","3","A"
"Celanese Corporation","CE","150","4","B"
"China Eastern Airlines Corporation Ltd.","CEA","135","3","D"
"CECO Environmental Corp.","CECE","152","3","B"
"Consol Energy Inc.","CEIX","63","3","B"
"Cypress Energy Partners, L.P.","CELP","167","3","D"
"Chembio Diagnostics, Inc.","CEMI","68","2","D"
"Century Aluminum Company","CENX","227","3","A"
"CNOOC Limited","CEO","236","4","B"
"Crestwood Equity Partners LP","CEQP","81","3","A"
"Cerner Corporation","CERN","69","3","B"
"Cerus Corporation","CERS","68","2","D"
"CF Industries Holdings, Inc.","CF","81","4","C"
"CrossFirst Bankshares, Inc.","CFB","219","3","F"
"Capitol Federal Financial","CFFN","181","3","F"
"Citizens Financial Group, Inc.","CFG","181","4","F"
"ConforMIS, Inc.","CFMS","69","3","D"
